Fecha Declaración;Nombre;Apellido Paterno;Apellido Materno;Cargo;Tipo Declaración;Institución
2017-03-29T00:00:00Z;MARCOS FÉLIX ERNESTO;GONZÁLEZ;DAZA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);UNIDOS RESULTA EN DEMOCRACIA
2017-05-11T00:00:00Z;RAUL ANDRES;PALACIOS;AUSPONT;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);MAS-REGIÓN
2017-03-17T00:00:00Z;EDUARDO JAVIER;VERGARA;BALBORAN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-05-12T00:00:00Z;SERGIO EDUARDO;VERGARA;MORALES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);MAS-REGIÓN
2017-04-04T00:00:00Z;CARLA VICTORIA;FUENTES;VICUÑA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);TODOS
2017-03-27T00:00:00Z;MIRIAM NINOSKA;CHIBLE;CONTRERAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);SOMOS AYSÉN
2017-07-05T00:00:00Z;LUIS ALEJANDRO;SALAS;CERDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO REGIONALISTA INDEPENDIENTE
2017-03-28T00:00:00Z;MIGUEL ANGEL;REBOLLEDO;GONZÁLEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);FUERZA REGIONAL NORTE VERDE
2017-03-29T00:00:00Z;MIGUEL ANGEL;REBOLLEDO;GONZÁLEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);FUERZA REGIONAL NORTE VERDE
2017-06-29T00:00:00Z;JOSÉ ANTONIO;RAMÍREZ;ARRAYAS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2017-05-11T00:00:00Z;FERNANDO ALFREDO;ZAMORANO;FERNÁNDEZ;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);MAS-REGIÓN
2017-03-27T00:00:00Z;AGAPITO EDUARDO;SANTANDER;MARÍN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);FUERZA REGIONAL NORTE VERDE
2017-03-31T00:00:00Z;NICHOLAS;SHEA;CAREY;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);TODOS
2018-07-22T00:00:00Z;ELIZABETH MARÍA;MUJICA;ZEPEDA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO ECOLOGISTA VERDE
2018-07-24T00:00:00Z;CAROLINA ANDREA;AEDO;RETAMAL;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
